1,I love the way the dress fit definitely a flip flop by the poolside bar dress. i ordered the mango colored one and was disappointed that the color resembled a dark squash orange and not as bright as it looked in picture. i think it will look nice with a tan so i will keep it. wouldn't plan to dress it up too much because it will definitely wrinkle ! i am a petite 5'4 and got the regular and it fits just above my knees which is good for my taste!,Dresses
1,Great pants. i'm 5'6 and about 130. the size 2 fit nice at the waist and loose in the thigh. they hit right at the ankle. the colors are nice/ muted. the details are great. overall great pants.,Pants
-1,If you have any cleavage this dress will look awful. the ties drop pretty low & look trashy over cleavage. recommend otherwise - good fabric cool look,Dresses
0,Other reviews are correct. but this has potential to look as good as on the model - structure and quality of the cotton are very flattering. makes legs look miles long. however this fits very tight  allows no room for extra tummy  hips  booty  or thighs. i ordered a s (i'm usually a 4) - was able to get it on (step into it from the top)  but felt a little self conscious about how tight the fit was. if there was an m  would have definitely sized up  as i really liked the look.,Pants
1,"This dress is even more gorgeous in person! i had seen in the spring catalog but liked it even more when i spotted it at my local store. i have been searching for the perfect ivory crochet or lace dress each summer for the past few years. i think i have finally found ""the one'! i should note i am 5'9"" and this dress goes all the way to my knees. it may swallow someone on the shorter side.",Dresses
-1,I should have paid closer attention to the other reviews. i could barely get this blouse over my head! after getting it on  the armholes too are very small. the blouse other than that is pretty and very girlie. i love the pleating and dolman sleeves but i was strangled around my neck. i tried the small but think a medium wouldn't have been much better. it needs a button opening on neck and sleeves. i would have to put this on before makeup or doing my hair.   if you have a tiny head and pencil a,Blouses
1,I have worn these exclusively for the past couple of years. they fit great (tts)  stay put  and wear very well. these are well worth the price.,Legwear
1,These leggings are so comfortable and luxurious.  when i opened the package i knew i was in trouble.  they are comfortable and beautiful.  a perfect piece for any wardrobe.,Jeans
1,Nice top; the material is soft and drapey. i like to wear it layered under a shorter shirt or jacket.,Blouses
0,Love the idea of this but it ran short and boxier than i would have liked. material is soft  cute design but not flattering. returning,Knits
1,I really likes these jeans. they are comfortable with stretch and look cute. the price is high but an investment for sure !,Jeans
0,Unfortunately this piece has a very boxy cut and the white layer is stiff and billows out - i am tall and thin but this made me look pregnant - very unflattering. i considered trying a smaller size  but i did not like the material too much either so i just returned it.,Fine gauge
0,The blue was a great color and i like the idea of a reversible top. however the xs was just swimming on me. this looks much more fitted in the pictures. my favorite workout top is from this brand and it is fitted and held up for 6 months. where are the fitted tops?? i'll keep looking.,Lounge
0,If you like looking like a giant square and hide things this is the way to go. for me  it completely irradiates my shape  including my neck. this will be returned.,Knits
0,Oh wow no. as the previous reviewer said  much lighter than the picture! rise and inseam are as described but with the light denim they combined to make a bad look for this 40something. maybe for a younger audience who like the 90s retro vibe? the fit is true to size  i tried the 27 and it was a nice snug fit around the bum (waist 28/29  hips 36  usually a 27 or 28 in jeans  sometimes even a 29 if they're super skinny).,Jeans
1,I purchased the blue version in store. it's a nice royal blue  not navy. (although the it could be worn with navy.) i thought the fit was flattering. the middle piece (pleat?) is less obvious on the blue than the purple. the tie at the neck can be untied and it is still not too low cut.,Knits
-1,With all of the glowing reviews of this dress  i so badly wanted to adore this very special cocktail dress. it fit nicely  the quality was great  but there is a decorative (?) line of hook and eyes down the front which come undone with the slightest movement. i wore the dress out one time and was paranoid the entire time  kept glancing down to make sure i hadn't come undressed. i suppose i could've gotten out the needlenose and crimped them all shut  but decided to take it back. i didn't see tha,Dresses
0,This is a pretty dress  but it runs at least one size too large. the silk is of good quality. it would be good for somebody who is slim and tall.,Dresses
0,"I am about 5'6""  135 lbs and usually wear between a small or a medium. i ordered a small  as another reviewer did. right when i took it out of the packaging  i could see that it was going to be much shorter than you can tell from the online photo. i knew the sweater was going to be cropped  but it falls right at the top of my hip bones. when i raise my arms up  my whole midriff shows. did not flatter my athletic build at all. the fit around the shoulders and chest is fine  skimming but not tight",Fine gauge
-1,Got this in the blue and was so excited. while it looks cute  someone had clearly bought this  worn it  and returned it. it had human and dog hair all over it. not to mention some kind of red strings. it was pilling all over. so much for quality control!!! i don't mind buying used things but at least clean it up and give me a discount!,Dresses
-1,I was so excited about these pants but they were a total disappointment in person. the fabric is a rough gauzy texture. the bottom has a big hem that weighs down the pants and makes them hang funny like you are walking on stilts or something  they do not hang or move well on the body. also  they are very long but small in the waist and have a high crotch so the fit is pretty off. sadly  these are going back.,Pants
1,I wanted this top to work so bad. unfortunately the way the bust of the top is designed it isn't flattering if you aren't flat chested. it squishes on side of your chest and leaves the other side alone. i'm a b cup and had this problem so if you are a b or larger  i don't recommend. however  if you are smaller busted  this piece would be worth the purchase.,Knits
1,The material and design of this beach dress is so pretty. i was hoping that this could be worn as both a dress and a swim suit cover-up  but it is only the latter. you can't see it from the photos (the model or mine)  but it is very sheer.... it can really only be worn over a swimsuit. whatever you wear (or don't) will be completely visible. so if you are looking for just a lovely  unique beach dress  this is it! unfortunately for the price i need more versatility! i will consider it on sale!,Lounge
-1,I was attracted to the feminine design of the dress  the silhouette  the flouncy skirt; however  i ordered the red motif pattern and hated the splotchy  dark colors.,Dresses
0,First  i absolutely love this dress  and i was super excited when it arrived today. i sized up as other reviewers recommended  and the dress fits perfectly. however  when i zipped the dress up  the zipper came apart in the center. going up another size would make the dress fit improperly  so i am hoping to exchange it for a new one and have better luck with the zipper.,Dresses
-1,I bought this dress because it was cute  swinging and lightweight -- seemingly perfect for this hot nyc summer. after on wash and dry  the dress is already ripped around two buttons. i'll still wear it but i don't think it'll last until next summer. kind of pitiful since it wasn't a cheap-o dress. also it is big but that seemed to be sort of the point.,Dresses
0,Contrary to some of the reviews posted the dress is not excessively sheer. you can't see black underwear thru the fabric  but you can see the body's silhouette in front of a light source. it's not lingerie sheer  but more like a medium weight gauze (without the wrinkles). if you're older or modest the sheerness may bother  otherwise (due to the print) it shouldn't be much of a factor.    now on to the size... i'm a plus size girl (size 18) and based on reviews saying the dress was huge  i ordere,Dresses
-1,"I loved this color and ordered it online because i thought it would work for both casual and work days dressed up a little. ummmmm  no. it's weird and boxy and does not look at all like it does on the model. i think maybe if you have no bust whatsoever and size way down it would look okay. i'm only a 34b  weigh 110 pounds  5'3"" and it made me look huge and awkward. this is going back!",Knits
-1,I read all the reviews about the fabric being see through  but liked the dress enough to give it a shot. it is soooo see through. this trally could only be worn on a beach. very disappointed.,Dresses
-1,Wanted to love this colorful romper. the fabric was suuuuper thin and very cheap feeling and looking. no way would i wear this.,Pants
1,These pants are perfect for any casual occasion. they can be worn to run errands  hang around the house  or even go out with friends. i love how versatile they are and they are so roomy for those times when you don't want to wear jeans or anything tight. they are a bit pricy  but i'm very happy with how they fit.,Pants
-1,I bought this t-shirt in pink  blue  red  grey and black over the past year. every one of them except the grey  has gotten little pin holes in the front of the shirt below your waistline. i've returned them all. the fabric is thin and the quality of the t/shirt is terrible.,Knits
0,This is definitely a personal preference review. i loved this dress when i tried it on. it's really beautiful. however  there was just way too much fabric on the sleeves for me. i know it's the style and i have similar style dresses  but i felt really large in this dress and it all came down to the sleeves for me.,Dresses
0,This is a beautiful dress. all that's missing is a bonnet!,Dresses
0,This is a well-made top and looks very pretty in the pictures  but in person it has a little more of a gauzy look to it. it is a great summer shirt as it is light and airy  but unfortunately it didn't work for me. i wear a 34c and that often results in shirts look more like tents or maternity wear than anything else. so  perhaps this works better for the smaller chested. additionally  and this wasn't so much of a con and just something to note  the fabric is pretty see-through. it works for the,Blouses
1,These are a comfortable  flattering casual pant. i usually wear a 27 in skinny jeans  so i dropped down to a 26 to make sure they weren't to baggy. i love them and will wear the a lot!,Pants
-1,I tried this dress on in a 6 and a 4 (a 4 is a little small for me but it looked so loose and flowy i thought sizing down would be a good idea). the 4 fit in the outer layer  however as the previous poster mentioned  the lining is super tight. i couldn't even pull the 4 lining down over my hips. the 6 was far too big in the shoulders and arms and still too tight in the lining. not sure what when wrong here but it's a shame because it's a really cute dress.,Dresses
-1,I was so excited to buy this coat  since i missed out on buying the last one. i snagged it quickly before heading out on a trip because this is the perfect plane jacket (i've borrowed my friends). i immediately noticed that the fabric was lighter and softer than the original  and after a few days noticed a lot of pilling on the coat  and a snag on the seam of the shoulder where the arm connects to the body. it's disappointing considering the price you pay. i would return if it still had tags on.,Sweaters
-1,This jumpsuit is so cute and it looked amazing on. i had to return it because of the poor design. it was extremely hard to put on and take off! there are so many buttons to do and undo which are not as easy as snaps! the fabric buttons definitely make a great look to the jumpsuit but there should be a zipper on the side for easy access  or use snaps instead of the loops for the fabric buttons. what a shame of a lovely and classy design on a good quality material  but not worth it if it's difficu,Dresses
1,"Perfect light weght sweater for the holidays. i love the detail in the back. the xs was a great fit for this 5'2""  115 lb body.",Fine gauge
